"word","definition","read"
"timorous","fearful timid afraid","timeruhs"
"toady","obsequious flatterer","tohdee"
"tocsin","a signal, especially of alarm","toksin"
"tonic","something giving strength or energy","tonik"
"topple","be unsteady and overturn","topuhl"
"torment","severe pain or suffering","verbtawrment"
"torpid","dull and slow","tawrpid"
"torque","twisting force causing rotation","tawrk"
"tortuous","devious/not straightforward","tawrchoouhs"
"tout","To solicit customers, votes, or patronage","tout"
"tractable","easily controlled or guided","traktuhbuhl"
"transgress","break go beyond (a limit)","transgres"
"transient","temporary fleeting","transhuhnt"
"transitory","brief","transitawree"
"travesty","parody/imitation","travuhstee"
"treacherous","not to be trusted, perfidious","trecheruhs"
"trenchant","forceful effective vigorous extremely perceptive incisive","trenchuhnt"
"trencherman","person who eats a lot","trenchermuhn"
"trepidation","alarm excited state of mind","trepideyshuhn"
"trickle","flow in drops","trikuhl"
"trifling","unimportant","trahyfling"
"trite","not new","trahyt"
"truce","(agreement) stop of fighting for a time","troos"
"truculence","aggressiveness ferocity","truhkyuhluhnt"
"trudge","walk heavily","truhj"
"turbid","muddy having the sediment stirred up","turbid"
"turbulence","being uncontrollably violent","turbyuhluhns"
"turgid","excessively ornate swollen or bloated","turjid"
"turmoil","trouble disturbance","turmoil"
"turpitude","wickedness shamefulness","turpitood"
"turquoise","greenish-blue precious stone","turkoiz"
"tyro","a beginner","tahyroh"
"ubiquitous","present everywhere","yoobikwituhs"
"ulterior","situated beyond","uhlteereeer"
"umbrage","offense resentment","uhmbrij"
"uncouth","rough awkward","uhnkooth"
"underbid","make a lower bid then somebody else","uhnderbid"
"undermine","weaken gradually at the base make something under","uhndermahynorespeciallyfor1"
"undulate","to move in wavelike fashion fluctuate","verbuhnjuhleyt"
"unearth","discover and bring to light","uhnurth"
"unencumbered","easy-going trifle","uhnenkuhmberd"
"unfeigned","not pretended sincere","uhnfeynd"
"unscathed","unharmed unhurt","uhnskeythd"
"untoward","unfortunate inconvenient","uhntawrd"
"upbraid","scold reproach","uhpbreyd"
"urbane","elegant refined in manners","urbeyn"
"vacillation","being uncertain hesitating","vasuhleyshuhn"
"vacuity","idleness","vakyooitee"
"vagary","strange act or idea","vuhgairee"
"vain","without use result conceited","veyn"
"valiant","brave","valyuhnt"
"valorous","brave","valeruhs"
"vanquish","conquer","vangkwish"
"variegate","To mark with different shade or colors","vaireeigeyt"
"veer","change direction","veer"
"vehemence","forcefulness","veeuhmuhns"
"venal","ready to do something dishonest","veenl"
"veneer","surface appearance covering the TRUE nature","vuhneer"
"veneration","regard with deep respect","venuhreyshuhn"
"veracity","truth","vuhrasitee"
"verdant","fresh and green","vurdnt"
"verisimilitude","appearing TRUE or real","veruhsimilitood"
"veritable","real rightly named","verituhbuhl"
"verve","spirit vigor enthusiasm","vurv"
"vestige","trace or sign","vestij"
"vex","annoy distress trouble","veks"
"vigilance","watchfulness self-appointed group who maintain order","vijuhluhns"
"vigilant","member of a vigilance committee","vijuhluhnt"
"vigorous","strong energetic","vigeruhs"
"vilify","slander say evil things","viluhfahy"
"vindictive","having a desire to revenge","vindiktiv"
"virago","a loud domineering woman a scold or nag","virahgoh"
"visceral","of the internal organs of the body","viseruhl"
"viscous","sticky/semi-fluid","viskuhs"
"vitiate","lower the quality weaken the strength","visheeeyt"
"vitriolic","corrosive; sarcastic","vitreeolik"
"vituperate","curse abuse in words","vahytoopuhreyt"
"vivacious","lively high-spirited","viveyshuhs"
"volatile","changeable inconstant fickle unstable explosive","voluhtl"
"volubility","fluency verbosity easy use of spoken language","volyuhbuhl"
"voluble","fluent","volyuhbuhl"
"voluptuous","arousing sensual pleasures","vuhluhpchoouhs"
"waffle","talk vaguely and without much result","wofuhl"
"waft","scent waving movement carry lightly through","waft"
"wag","merry person","wag"
"wan","looking ill, not bright","won"
"wanton","unrestrained; willfully malicious; unchaste","wontn"
"warmonger","person who stirs up war","wawrmuhngger"
"warrant","authority written order guarantee","wawruhnt"
"wean","to turn away (from a habit)","ween"
"weigh","measure hoe heavy something is","wey"
"welter","turmoil a bewildering jumble","welter"
"wend","to go proceed","wend"
"whimsical","full of odd and fanciful ideas","hwimzikuhl"
"wile","a trick","wahyl"
"wince","show bodily or mental pain","wins"
"woo","try to win","woo"
"writ","written order","rit"
"yarn","tale story fibers for knitting","yahrn"
"yeoman","man owning small estate; middle-class farmer","yohmuhn"
